C1.1-Vanity,001,No Description
C1.2-WC,002,No Description
C2-Entry,003,No Description
C3-Reading R,004,No Description
C4-Reading L,005,No Description
C5-MinBar&Head,006,No Description
C7-Night Light,007,No Description
Spare1,008,No Description
FAN-L,021,No Description
FAN-M,022,No Description
FAN-H,023,No Description
VAVLE,024,No Description
Socket,025,No Description
C6-Bedside R,026,No Description
C8-Bedside L,027,No Description
C9-Table Lamp,028,No Description
C10-Floor Lamp,029,No Description
Bell,030,No Description
DND,253,No Description
MUR,254,No Description
