C1-Sofa,001,No Description
C2-Living,002,No Description
C3-Entry,003,No Description
C4-Kitchen,004,No Description
C6-Ceiling Bed,005,No Description
C7-Reading L,006,No Description
C8-Reading R,007,No Description
C9-Vanity Bath,008,No Description
C10-Ceiling Bath,009,No Description
C14-Night Light,010,No Description
C16-Wadrobe,011,No Description
C17-Head Bed,012,No Description
Spare1,013,No Description
Spare2,014,No Description
Spare3,015,No Description
Spare4,016,No Description
FAN Low-Bed,021,No Description
FAN Med-Bed,022,No Description
FAN High-Bed,023,No Description
VALVE-Bed,024,No Description
Soket,025,No Description
FAN Low-Living,026,No Description
FAN Med-Living,027,No Description
FAN High-Living,028,No Description
VALVE,029,No Description
BELL,030,No Description
C5-Dining Table,031,No Description
C11-Bedside L,032,No Description
C12-Bedside R,033,No Description
C13-Floor Lamp,034,No Description
C15-Table Lamp,035,No Description
DND,253,User Deleted. Program has recovered. Please modify input before deleting group
MUR,254,User Deleted. Program has recovered. Please modify input before deleting group
